id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C000970,北海道リンクスカントリー倶楽部　美唄コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000896,ゴールド札幌カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000940,南幌リバーサイドゴルフ場,,1,,,,,,,,,,,,,,,,,,,,,,
C005249,カイトアンドフォックスカントリークラブ（閉鎖）,,1,,,,,,,,,,,,,,,,,,,,,,
C000893,新札幌台ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000989,シャトレーゼカントリークラブ　栗山,,1,,,,,,,,,,,,,,,,,,,,,,
C000872,クラークカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000927,北海道リバーヒルゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000973,シャトレーゼカントリークラブマサリカップ,,1,,,,,,,,,,,,,,,,,,,,,,
C000975,隨縁カントリークラブ　恵庭コース,,1,,,,,,,,,,,,,,,,,,,,,,
C000966,北海道ゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000954,ハッピーバレーゴルフクラブ札幌,,1,,,,,,,,,,,,,,,,,,,,,,
C000847,岩見沢パブリック雉ヶ森ゴルフコース,,1,,,,,,,,,,,,,,,,,,,,,,
C000873,シェイクスピアカントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000876,スウェーデンヒルズゴルフ倶楽部,,1,,,,,,,,,,,,,,,,,,,,,,
C000972,真駒内カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000845,石狩川江別ゴルフクラブ(閉鎖),,1,,,,,,,,,,,,,,,,,,,,,,
C000846,石狩平原カントリークラブ,,1,,,,,,,,,,,,,,,,,,,,,,
C000990,新札幌ワシントンゴルフ倶楽部（閉鎖）,,1,,,,,,,,,,,,,,,,,,,,,,
C000895,シャトレーゼカントリークラブ　石狩,,1,,,,,,,,,,,,,,,,,,,,,,
