region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
北海道,上士幌Gﾏｽﾀｰｽﾞ,上士幌ゴルフ場マスターズ,C000206,out+in,5,5,4,3,4,4,4,3,4,4,4,3,5,4,3,5,4,4,
北海道,上湧別ﾘﾊﾞｰｻｲﾄﾞG,上湧別リバーサイドゴルフ場,C000043,out+in,4,4,5,3,4,5,4,3,4,5,4,3,4,5,4,4,3,4,
北海道,北見CC,北見カントリークラブ,C000044,out+in,4,3,5,4,5,4,3,4,4,5,4,3,5,4,3,4,4,4,
北海道,北見ハーブヒルGC,北見ハーブヒルゴルフクラブ,C000045,out+in,4,5,3,4,4,4,4,3,5,4,5,3,4,4,3,5,4,4,
北海道,釧路CC鶴居西,釧路カントリークラブ鶴居コース西,C000047,out+in,4,5,3,4,5,4,4,3,4,5,4,4,3,4,5,4,3,4,
北海道,釧路CC鶴居東,釧路カントリークラブ鶴居コース東,C000046,out+in,4,4,5,4,3,4,4,3,5,4,4,3,5,4,4,3,4,5,
北海道,釧路空港GCｽｽﾞﾗﾝ,釧路空港ゴルフクラブすずらん,C000049,all,5,4,4,3,4,4,5,3,4,,,,,,,,,,
北海道,釧路空港GCﾊﾏﾅｽ,釧路空港ゴルフクラブはまなす,C000050,all,5,4,3,4,4,5,4,3,4,,,,,,,,,,
北海道,釧路空港GCﾗｲﾗｯｸ,釧路空港ゴルフクラブらいらっく,C000048,all,5,4,4,3,4,5,4,3,4,,,,,,,,,,
北海道,釧路風林CC川中島,釧路風林カントリークラブBコース（川中島）,C000052,all,4,4,3,5,4,3,5,4,4,,,,,,,,,,
北海道,釧路風林CC謙信,釧路風林カントリークラブCコース（謙信）,C000053,all,5,4,4,3,5,4,3,4,4,,,,,,,,,,
北海道,釧路風林CC信玄,釧路風林カントリークラブAコース（信玄）,C000051,all,4,4,5,3,4,4,3,4,5,,,,,,,,,,
北海道,クラークCC中,クラークカントリークラブ中,C000055,all,5,4,3,4,4,5,3,4,4,,,,,,,,,,
北海道,クラークCC西,クラークカントリークラブ西,C000056,all,5,4,3,4,5,4,3,4,4,,,,,,,,,,
北海道,クラークCC東,クラークカントリークラブ東,C000054,all,5,4,3,4,5,3,4,4,4,,,,,,,,,,
北海道,グランド札幌CC,グランド札幌カントリークラブ,C000170,out+in,5,4,4,3,4,5,4,3,4,5,4,4,3,5,4,4,3,4,
北海道,ｸﾞﾘｰﾝｽｺｰﾚCC,グリーンスコーレカントリー倶楽部,C000058,out+in,5,4,3,4,5,3,4,4,4,4,5,4,3,4,4,3,4,5,
北海道,グレート旭川CC,グレート旭川カントリー倶楽部,C000062,out+in,4,5,4,3,4,5,4,3,4,4,5,4,3,4,4,4,3,5,
北海道,グレート札幌CC,グレート札幌カントリー倶楽部,C000063,out+in,5,4,4,3,4,4,3,4,5,4,4,5,3,4,4,5,3,4,
北海道,コート旭川CC,コート旭川カントリークラブ,C000064,out+in,4,5,3,4,4,5,3,4,4,4,5,3,4,4,5,3,4,4,
北海道,ゴールド札幌CC,ゴールド札幌カントリークラブ,C000068,out+in,5,4,3,4,5,4,4,3,4,4,3,4,4,4,5,3,4,5,
北海道,御前水GC,御前水ゴルフ倶楽部,C000069,out+in,4,3,4,4,5,4,3,5,4,5,4,3,4,4,3,4,4,5,
北海道,ゴルフ5C美唄C中,ゴルフ5カントリー美唄コース中,C000007,all,4,5,3,4,5,4,4,3,4,,,,,,,,,,
