region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
,ベアズパウジャパンカントリークラブ,IN,C004435,,4,4,5,4,4,3,4,3,5,,,,,,,,,,
,名神八日市カントリー倶楽部,比叡コース,C004430,,5,4,3,4,5,3,4,4,4,,,,,,,,,,
,名神八日市カントリー倶楽部,鈴鹿コース,C004430,,4,5,5,3,4,3,4,4,4,,,,,,,,,,
,名神八日市カントリー倶楽部,伊吹コース,C004430,,5,3,4,4,4,3,4,5,4,,,,,,,,,,
,名神栗東カントリー倶楽部,OUT,C004431,,4,5,4,4,3,4,3,4,5,,,,,,,,,,
,名神栗東カントリー倶楽部,IN,C004431,,5,4,4,4,3,4,3,4,5,,,,,,,,,,
,名神竜王カントリー倶楽部,OUT,C004432,,4,4,3,4,5,4,3,4,5,,,,,,,,,,
,名神竜王カントリー倶楽部,IN,C004432,,5,4,3,4,4,5,4,3,4,,,,,,,,,,
,メイプルヒルズゴルフ倶楽部,OUT,C004433,,4,3,4,4,4,5,4,3,5,,,,,,,,,,
,メイプルヒルズゴルフ倶楽部,IN,C004433,,5,3,4,4,4,3,4,4,5,,,,,,,,,,
,竜王ゴルフコース,OUT,C004434,,5,3,4,4,4,4,5,3,4,,,,,,,,,,
,竜王ゴルフコース,IN,C004434,,5,4,4,4,3,4,3,5,4,,,,,,,,,,
,ローズゴルフクラブ,OUT,C004414,,5,4,3,4,4,4,5,3,4,,,,,,,,,,
,ローズゴルフクラブ,IN,C004414,,5,4,3,5,4,4,4,3,4,,,,,,,,,,
