id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,parSource,parTeeName,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C000889,札幌国際カントリークラブ　島松コース,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000907,シャムロックカントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000996,ロイヤルシップ札幌ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000929,札幌テイネゴルフ倶楽部,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000928,ツキサップゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000852,安平ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000971,マオイゴルフリゾート（閉鎖）,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000848,恵庭カントリー倶楽部,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000994,龍の舞ビッグスギゴルフ倶楽部(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000995,富良野ゴルフコース,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000934,北海道ブルックスカントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000883,札樽ゴルフ倶楽部,,1,18,35,36,71,,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000948,登別カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000944,ニセコビレッジゴルフコース,,1,18,37,36,73,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000967,新奈井江カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000900,ザ・ノースカントリーゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000862,桂ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000942,ニセコゴルフコース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000905,鹿部カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000963,北海道カントリークラブ　大沼コース,,1,18,37,36,73,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000923,伊達カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000959,羊ケ丘カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000888,ダイナスティゴルフクラブ北広島,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000860,オリカゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000864,上士幌ゴルフ場,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000850,大沼国際カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000890,札幌ゴルフ倶楽部　由仁コース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000965,北海道クラシックゴルフクラブ帯広　クラシックコース（北海道クラシックＧＣ　帯広Ｃ）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000993,滝川丸加高原カントリークラブ（閉鎖）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000969,北海道クラシックゴルフクラブ帯広　メイプルコース（北海道メイプルＧＣ）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000877,グレート旭川カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000949,北海道カントリークラブ プリンスコース（旧：函館大沼プリンスゴルフコース）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000943,ＨＡＮＡＺＯＮＯ　ＧＯＬＦ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000980,室蘭ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000952,函館シーサイドカントリークラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000870,釧路空港ゴルフクラブ（閉鎖）,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000844,函館ベイコーストカントリークラブ（旧：アンビックス函館倶楽部　上磯ゴルフコース）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000897,札幌芙蓉カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000908,定山渓カントリー倶楽部　駒丘コース（旧：札幌南ゴルフクラブ　駒丘コース）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C005318,一達国際Ｐｒｉｖａｔｅ　Ｇｏｌｆ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000901,サホロカントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000960,平取カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000951,函館ＫＧカントリークラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000841,星野リゾート　トマムゴルフコース（旧：アルファリゾート・トマムＧＣ）(閉鎖),,1,18,37,36,73,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000921,滝川市民ゴルフ場,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000904,フォレスト旭川カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000843,アーレックスゴルフ倶楽部(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000987,ルスツリゾートゴルフ７２　タワーコース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000916,空知川ラベンダーの森ゴルフコース,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000964,北海道クラシックゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000857,帯広白樺カントリークラブ,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C005365,小樽カントリー倶楽部　旧コース,,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C000849,エムズゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000997,ルスツリゾートゴルフ７２　いずみかわコース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000953,函館パークカントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000998,女満別ゴルフコース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000836,コート旭川カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000892,札幌藤の沢すずらんゴルフ場,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000911,砂川オアシスゴルフコース(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001001,ウィンザー・グレートピーク・オブ・トーヤ,,1,18,35,36,71,,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000837,旭川国際カントリークラブ　愛別コース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000985,ルスツリゾートゴルフ７２　リバーウッドコース,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000835,阿寒カントリークラブ,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000917,空知カントリークラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000871,釧路風林カントリークラブ,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000839,旭川メモリアルカントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000909,白金ゴルフ倶楽部(閉鎖),,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000256,ルスツリゾートゴルフ７２　ウッドコース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000991,稚内カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000894,札幌つきがたゴルフコース(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000840,新釧路ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000915,セント旭川ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000947,ノースバレーカントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000992,函館ゴルフ倶楽部　湯の川ゴルフ場,,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C000861,温根湯国際カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000884,札内川ゴルフ場,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000932,北見ハーブヒルゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000834,新茜ゴルフ倶楽部(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000919,大雪山カントリークラブ,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000930,弟子屈カントリークラブ　摩周湖コース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000869,釧路カントリークラブ,,1,36,,,90,,,,,,,,,,,,,,,,,,,,
C000935,トーヤレイクヒルゴルフ倶楽部(閉鎖),,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000974,増毛ゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000855,帯広カントリークラブ　新嵐山コース,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C005245,ノーザンアークゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000875,グリーンスコーレカントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000941,ニセコゴルフ＆リゾート,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000902,サロベツカントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000914,旭川たかすゴルフクラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000856,帯広国際カントリークラブ,,1,27,,,90,,,,,,,,,,,,,,,,,,,,
C000906,士別同友会カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000859,オホーツクカントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000979,南宗谷ゴルフ場,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C005202,レンブラントゴルフ倶楽部札幌（旧：ダイナスティゴルフクラブ有明）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000838,旭川ゴルフ倶楽部,,1,18,34,36,70,,,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000933,十勝カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000938,知床ゴルフクラブ　なかしべつコース (閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000950,函館よこつゴルフコース(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000961,深川カントリー倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000858,帯広リバーサイドゴルフ場(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000983,ユニオンジャックカントリークラブ(閉鎖),,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000956,エバーグリーンゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000898,札幌ベイゴルフ倶楽部,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
